status,duration_sec,is_complete,source_file,respondent_id,region,researcher_id,start_time,end_time,start_date,start_hour
Completed successfully,3218.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,756.0,,Antonia Milegrito,2025-06-18 05:05:00,2025-06-18 05:58:38,2025-06-18,5.0
Completed successfully,1948.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,757.0,,COQUIA MARILYN,2025-06-18 01:24:00,2025-06-18 01:56:28,2025-06-18,1.0
Completed successfully,2294.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,758.0,,COQUIA MARILYN,2025-06-18 02:57:00,2025-06-18 03:35:14,2025-06-18,2.0
Completed successfully,2198.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,759.0,,COQUIA MARILYN,2025-06-18 04:56:00,2025-06-18 05:32:38,2025-06-18,4.0
Completed successfully,1918.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,760.0,,COQUIA MARILYN,2025-06-18 06:41:00,2025-06-18 07:12:58,2025-06-18,6.0
Completed successfully,1649.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,761.0,,COQUIA MARILYN,2025-06-18 07:34:00,2025-06-18 08:01:29,2025-06-18,7.0
Completed successfully,1786.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,762.0,,Katherine Mendoza,2025-06-14 04:37:00,2025-06-14 05:06:46,2025-06-14,4.0
Completed successfully,2026.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,763.0,,Katherine Mendoza,2025-06-14 05:43:00,2025-06-14 06:16:46,2025-06-14,5.0
Completed successfully,1840.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,764.0,,Katherine Mendoza,2025-06-14 07:08:00,2025-06-14 07:38:40,2025-06-14,7.0
Completed successfully,2593.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,765.0,,Janeth Mcairan,2025-06-16 05:29:00,2025-06-16 06:12:13,2025-06-16,5.0
Completed successfully,3203.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,766.0,,Antonia Milegrito,2025-06-15 08:32:00,2025-06-15 09:25:23,2025-06-15,8.0
Completed successfully,1676.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,767.0,,,2025-06-19 02:35:00,2025-06-19 03:02:56,2025-06-19,2.0
Completed successfully,1994.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,768.0,,,2025-06-19 05:01:00,2025-06-19 05:34:14,2025-06-19,5.0
Completed successfully,2420.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,769.0,,Sheila Ofqueria,2025-06-19 08:29:00,2025-06-19 09:09:20,2025-06-19,8.0
Completed successfully,2210.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,770.0,,marivic adornA,2025-06-12 06:44:00,2025-06-12 07:20:50,2025-06-12,6.0
Completed successfully,2236.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,771.0,,marivic adornA,2025-06-12 07:31:00,2025-06-12 08:08:16,2025-06-12,7.0
Completed successfully,2209.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,773.0,,marivic adornA,2025-06-12 23:59:00,2025-06-13 00:35:49,2025-06-12,23.0
Completed successfully,1843.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,776.0,,marivic adornA,2025-06-13 00:43:00,2025-06-13 01:13:43,2025-06-13,0.0
Completed successfully,1849.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,778.0,,Marivic Adorna,2025-06-13 04:44:00,2025-06-13 05:14:49,2025-06-13,4.0
Completed successfully,1865.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,779.0,,marivic adornA,2025-06-13 06:06:00,2025-06-13 06:37:05,2025-06-13,6.0
Completed successfully,1882.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,780.0,,marivic adornA,2025-06-13 23:02:00,2025-06-13 23:33:22,2025-06-13,23.0
Completed successfully,1933.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,781.0,,Marivic Adorna,2025-06-14 00:49:00,2025-06-14 01:21:13,2025-06-14,0.0
